"Date","Source","Site ID","POC","Daily Max 1-hour NO2 Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"01/12/2024","AQS","060370016","1","18","ppb","17","Glendora","24","100.0000","42602","Nitrogen dioxide (NO2)","099","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.14435","-117.85036"
"01/13/2024","AQS","060370016","1","20.2","ppb","19","Glendora","24","100.0000","42602","Nitrogen dioxide (NO2)","099","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.14435","-117.85036"
"01/14/2024","AQS","060370016","1","9","ppb","8","Glendora","24","100.0000","42602","Nitrogen dioxide (NO2)","099","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.14435","-117.85036"
"01/15/2024","AQS","060370016","1","22.6","ppb","21","Glendora","24","100.0000","42602","Nitrogen dioxide (NO2)","099","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.14435","-117.85036"
"01/16/2024","AQS","060370016","1","29.2","ppb","27","Glendora","24","100.0000","42602","Nitrogen dioxide (NO2)","099","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.14435","-117.85036"
"01/17/2024","AQS","060370016","1","22","ppb","21","Glendora","24","100.0000","42602","Nitrogen dioxide (NO2)","099","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.14435","-117.85036"
"01/18/2024","AQS","060370016","1","26.9","ppb","25","Glendora","24","100.0000","42602","Nitrogen dioxide (NO2)","099","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.14435","-117.85036"
"01/19/2024","AQS","060370016","1","34.3","ppb","32","Glendora","24","100.0000","42602","Nitrogen dioxide (NO2)","099","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.14435","-117.85036"
"01/20/2024","AQS","060370016","1","31.1","ppb","29","Glendora","24","100.0000","42602","Nitrogen dioxide (NO2)","099","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.14435","-117.85036"
"01/21/2024","AQS","060370016","1","5.1","ppb","5","Glendora","24","100.0000","42602","Nitrogen dioxide (NO2)","099","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.14435","-117.85036"
"01/22/2024","AQS","060370016","1","8.5","ppb","8","Glendora","24","100.0000","42602","Nitrogen dioxide (NO2)","099","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.14435","-117.85036"
"01/23/2024","AQS","060370016","1","13.7","ppb","12","Glendora","24","100.0000","42602","Nitrogen dioxide (NO2)","099","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.14435","-117.85036"
"01/24/2024","AQS","060370016","1","11.7","ppb","10","Glendora","24","100.0000","42602","Nitrogen dioxide (NO2)","099","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.14435","-117.85036"
"01/25/2024","AQS","060370016","1","11.7","ppb","10","Glendora","24","100.0000","42602","Nitrogen dioxide (NO2)","099","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.14435","-117.85036"
"01/26/2024","AQS","060370016","1","10","ppb","9","Glendora","24","100.0000","42602","Nitrogen dioxide (NO2)","099","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.14435","-117.85036"
"01/27/2024","AQS","060370016","1","6.3","ppb","6","Glendora","24","100.0000","42602","Nitrogen dioxide (NO2)","099","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.14435","-117.85036"
"01/28/2024","AQS","060370016","1","5.9","ppb","5","Glendora","24","100.0000","42602","Nitrogen dioxide (NO2)","099","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.14435","-117.85036"
"01/29/2024","AQS","060370016","1","7.9","ppb","7","Glendora","24","100.0000","42602","Nitrogen dioxide (NO2)","099","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.14435","-117.85036"
"01/30/2024","AQS","060370016","1","33.2","ppb","31","Glendora","24","100.0000","42602","Nitrogen dioxide (NO2)","099","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.14435","-117.85036"
"01/31/2024","AQS","060370016","1","15","ppb","14","Glendora","24","100.0000","42602","Nitrogen dioxide (NO2)","099","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.14435","-117.85036"
"02/01/2024","AQS","060370016","1","18.9","ppb","17","Glendora","24","100.0000","42602","Nitrogen dioxide (NO2)","099","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.14435","-117.85036"
"02/02/2024","AQS","060370016","1","7.9","ppb","7","Glendora","24","100.0000","42602","Nitrogen dioxide (NO2)","099","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.14435","-117.85036"
"02/03/2024","AQS","060370016","1","10.1","ppb","9","Glendora","24","100.0000","42602","Nitrogen dioxide (NO2)","099","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.14435","-117.85036"
"02/04/2024","AQS","060370016","1","11.5","ppb","10","Glendora","24","100.0000","42602","Nitrogen dioxide (NO2)","099","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.14435","-117.85036"
"02/05/2024","AQS","060370016","1","5.6","ppb","5","Glendora","24","100.0000","42602","Nitrogen dioxide (NO2)","099","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.14435","-117.85036"
"02/06/2024","AQS","060370016","1","9.9","ppb","8","Glendora","24","100.0000","42602","Nitrogen dioxide (NO2)","099","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.14435","-117.85036"
"02/07/2024","AQS","060370016","1","6.8","ppb","6","Glendora","24","100.0000","42602","Nitrogen dioxide (NO2)","099","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.14435","-117.85036"
"02/08/2024","AQS","060370016","1","5.9","ppb","5","Glendora","24","100.0000","42602","Nitrogen dioxide (NO2)","099","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.14435","-117.85036"
"02/09/2024","AQS","060370016","1","9.8","ppb","8","Glendora","24","100.0000","42602","Nitrogen dioxide (NO2)","099","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.14435","-117.85036"
"02/10/2024","AQS","060370016","1","4.9","ppb","4","Glendora","24","100.0000","42602","Nitrogen dioxide (NO2)","099","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.14435","-117.85036"
"02/11/2024","AQS","060370016","1","8.8","ppb","8","Glendora","24","100.0000","42602","Nitrogen dioxide (NO2)","099","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.14435","-117.85036"
"02/12/2024","AQS","060370016","1","10.7","ppb","9","Glendora","24","100.0000","42602","Nitrogen dioxide (NO2)","099","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.14435","-117.85036"
"02/14/2024","AQS","060370016","1","18.3","ppb","17","Glendora","24","100.0000","42602","Nitrogen dioxide (NO2)","099","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.14435","-117.85036"
"02/15/2024","AQS","060370016","1","15.3","ppb","14","Glendora","24","100.0000","42602","Nitrogen dioxide (NO2)","099","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.14435","-117.85036"
"02/16/2024","AQS","060370016","1","22","ppb","21","Glendora","24","100.0000","42602","Nitrogen dioxide (NO2)","099","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.14435","-117.85036"
"02/17/2024","AQS","060370016","1","18.1","ppb","17","Glendora","24","100.0000","42602","Nitrogen dioxide (NO2)","099","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.14435","-117.85036"
"02/18/2024","AQS","060370016","1","12.8","ppb","11","Glendora","24","100.0000","42602","Nitrogen dioxide (NO2)","099","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.14435","-117.85036"
"02/19/2024","AQS","060370016","1","15.6","ppb","14","Glendora","24","100.0000","42602","Nitrogen dioxide (NO2)","099","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.14435","-117.85036"
"02/20/2024","AQS","060370016","1","10.5","ppb","9","Glendora","24","100.0000","42602","Nitrogen dioxide (NO2)","099","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.14435","-117.85036"
"02/21/2024","AQS","060370016","1","10.5","ppb","9","Glendora","24","100.0000","42602","Nitrogen dioxide (NO2)","099","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.14435","-117.85036"
"02/22/2024","AQS","060370016","1","13.9","ppb","12","Glendora","24","100.0000","42602","Nitrogen dioxide (NO2)","099","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.14435","-117.85036"
"02/23/2024","AQS","060370016","1","12.5","ppb","11","Glendora","24","100.0000","42602","Nitrogen dioxide (NO2)","099","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.14435","-117.85036"
"02/24/2024","AQS","060370016","1","13.1","ppb","12","Glendora","24","100.0000","42602","Nitrogen dioxide (NO2)","099","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.14435","-117.85036"
"02/25/2024","AQS","060370016","1","14.3","ppb","13","Glendora","24","100.0000","42602","Nitrogen dioxide (NO2)","099","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.14435","-117.85036"
"02/26/2024","AQS","060370016","1","27.5","ppb","25","Glendora","24","100.0000","42602","Nitrogen dioxide (NO2)","099","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.14435","-117.85036"
"02/27/2024","AQS","060370016","1","15","ppb","14","Glendora","24","100.0000","42602","Nitrogen dioxide (NO2)","099","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.14435","-117.85036"
"02/28/2024","AQS","060370016","1","18.1","ppb","17","Glendora","24","100.0000","42602","Nitrogen dioxide (NO2)","099","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.14435","-117.85036"
"02/29/2024","AQS","060370016","1","12.3","ppb","11","Glendora","23","96.0000","42602","Nitrogen dioxide (NO2)","099","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.14435","-117.85036"
"03/01/2024","AQS","060370016","1","7","ppb","7","Glendora","24","100.0000","42602","Nitrogen dioxide (NO2)","099","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.14435","-117.85036"
"03/02/2024","AQS","060370016","1","7.5","ppb","7","Glendora","24","100.0000","42602","Nitrogen dioxide (NO2)","099","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.14435","-117.85036"
"03/03/2024","AQS","060370016","1","6.6","ppb","6","Glendora","24","100.0000","42602","Nitrogen dioxide (NO2)","099","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.14435","-117.85036"
"03/04/2024","AQS","060370016","1","5.9","ppb","5","Glendora","24","100.0000","42602","Nitrogen dioxide (NO2)","099","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.14435","-117.85036"
"03/05/2024","AQS","060370016","1","11.3","ppb","10","Glendora","24","100.0000","42602","Nitrogen dioxide (NO2)","099","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.14435","-117.85036"
"03/06/2024","AQS","060370016","1","8.2","ppb","8","Glendora","24","100.0000","42602","Nitrogen dioxide (NO2)","099","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.14435","-117.85036"
"03/07/2024","AQS","060370016","1","9.4","ppb","8","Glendora","24","100.0000","42602","Nitrogen dioxide (NO2)","099","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.14435","-117.85036"
"03/08/2024","AQS","060370016","1","12.5","ppb","11","Glendora","24","100.0000","42602","Nitrogen dioxide (NO2)","099","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.14435","-117.85036"
"03/09/2024","AQS","060370016","1","11.5","ppb","10","Glendora","24","100.0000","42602","Nitrogen dioxide (NO2)","099","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.14435","-117.85036"
"03/10/2024","AQS","060370016","1","11.4","ppb","10","Glendora","24","100.0000","42602","Nitrogen dioxide (NO2)","099","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.14435","-117.85036"
"03/11/2024","AQS","060370016","1","8.7","ppb","8","Glendora","24","100.0000","42602","Nitrogen dioxide (NO2)","099","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.14435","-117.85036"
"03/12/2024","AQS","060370016","1","11.9","ppb","10","Glendora","24","100.0000","42602","Nitrogen dioxide (NO2)","099","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.14435","-117.85036"
"03/13/2024","AQS","060370016","1","8.8","ppb","8","Glendora","24","100.0000","42602","Nitrogen dioxide (NO2)","099","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.14435","-117.85036"
"03/14/2024","AQS","060370016","1","3.6","ppb","3","Glendora","24","100.0000","42602","Nitrogen dioxide (NO2)","099","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.14435","-117.85036"
"03/15/2024","AQS","060370016","1","11.4","ppb","10","Glendora","24","100.0000","42602","Nitrogen dioxide (NO2)","099","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.14435","-117.85036"
"03/16/2024","AQS","060370016","1","6.1","ppb","6","Glendora","24","100.0000","42602","Nitrogen dioxide (NO2)","099","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.14435","-117.85036"
"03/17/2024","AQS","060370016","1","10.7","ppb","9","Glendora","24","100.0000","42602","Nitrogen dioxide (NO2)","099","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.14435","-117.85036"
"03/18/2024","AQS","060370016","1","10.7","ppb","9","Glendora","24","100.0000","42602","Nitrogen dioxide (NO2)","099","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.14435","-117.85036"
"03/19/2024","AQS","060370016","1","18.1","ppb","17","Glendora","24","100.0000","42602","Nitrogen dioxide (NO2)","099","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.14435","-117.85036"
"03/20/2024","AQS","060370016","1","24.8","ppb","23","Glendora","24","100.0000","42602","Nitrogen dioxide (NO2)","099","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.14435","-117.85036"
"03/21/2024","AQS","060370016","1","14.3","ppb","13","Glendora","24","100.0000","42602","Nitrogen dioxide (NO2)","099","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.14435","-117.85036"
"03/22/2024","AQS","060370016","1","24.2","ppb","23","Glendora","24","100.0000","42602","Nitrogen dioxide (NO2)","099","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.14435","-117.85036"
"03/23/2024","AQS","060370016","1","8.8","ppb","8","Glendora","24","100.0000","42602","Nitrogen dioxide (NO2)","099","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.14435","-117.85036"
"03/24/2024","AQS","060370016","1","5.9","ppb","5","Glendora","24","100.0000","42602","Nitrogen dioxide (NO2)","099","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.14435","-117.85036"
"03/25/2024","AQS","060370016","1","11.9","ppb","10","Glendora","24","100.0000","42602","Nitrogen dioxide (NO2)","099","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.14435","-117.85036"
"03/26/2024","AQS","060370016","1","10.1","ppb","9","Glendora","24","100.0000","42602","Nitrogen dioxide (NO2)","099","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.14435","-117.85036"
"03/27/2024","AQS","060370016","1","11.5","ppb","10","Glendora","24","100.0000","42602","Nitrogen dioxide (NO2)","099","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.14435","-117.85036"
"03/28/2024","AQS","060370016","1","19.9","ppb","18","Glendora","22","92.0000","42602","Nitrogen dioxide (NO2)","099","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.14435","-117.85036"
"03/29/2024","AQS","060370016","1","7.5","ppb","7","Glendora","24","100.0000","42602","Nitrogen dioxide (NO2)","099","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.14435","-117.85036"
"03/30/2024","AQS","060370016","1","2.7","ppb","2","Glendora","24","100.0000","42602","Nitrogen dioxide (NO2)","099","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.14435","-117.85036"
"03/31/2024","AQS","060370016","1","3","ppb","3","Glendora","24","100.0000","42602","Nitrogen dioxide (NO2)","099","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.14435","-117.85036"
"04/01/2024","AQS","060370016","1","7.8","ppb","7","Glendora","24","100.0000","42602","Nitrogen dioxide (NO2)","099","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.14435","-117.85036"
"04/02/2024","AQS","060370016","1","10.4","ppb","9","Glendora","24","100.0000","42602","Nitrogen dioxide (NO2)","099","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.14435","-117.85036"
"04/03/2024","AQS","060370016","1","13.3","ppb","12","Glendora","23","96.0000","42602","Nitrogen dioxide (NO2)","099","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.14435","-117.85036"
"04/04/2024","AQS","060370016","1","8.7","ppb","8","Glendora","24","100.0000","42602","Nitrogen dioxide (NO2)","099","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.14435","-117.85036"
"04/05/2024","AQS","060370016","1","4.1","ppb","4","Glendora","24","100.0000","42602","Nitrogen dioxide (NO2)","099","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.14435","-117.85036"
"04/06/2024","AQS","060370016","1","8","ppb","8","Glendora","24","100.0000","42602","Nitrogen dioxide (NO2)","099","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.14435","-117.85036"
"04/07/2024","AQS","060370016","1","7.4","ppb","7","Glendora","24","100.0000","42602","Nitrogen dioxide (NO2)","099","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.14435","-117.85036"
"04/08/2024","AQS","060370016","1","9.8","ppb","8","Glendora","24","100.0000","42602","Nitrogen dioxide (NO2)","099","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.14435","-117.85036"
"04/09/2024","AQS","060370016","1","8.6","ppb","8","Glendora","24","100.0000","42602","Nitrogen dioxide (NO2)","099","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.14435","-117.85036"
"04/10/2024","AQS","060370016","1","20.9","ppb","19","Glendora","24","100.0000","42602","Nitrogen dioxide (NO2)","099","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.14435","-117.85036"
"04/11/2024","AQS","060370016","1","18.7","ppb","17","Glendora","24","100.0000","42602","Nitrogen dioxide (NO2)","099","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.14435","-117.85036"
"04/12/2024","AQS","060370016","1","15.1","ppb","14","Glendora","24","100.0000","42602","Nitrogen dioxide (NO2)","099","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.14435","-117.85036"
"04/13/2024","AQS","060370016","1","5.9","ppb","5","Glendora","24","100.0000","42602","Nitrogen dioxide (NO2)","099","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.14435","-117.85036"
"04/14/2024","AQS","060370016","1","5.1","ppb","5","Glendora","24","100.0000","42602","Nitrogen dioxide (NO2)","099","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.14435","-117.85036"
"04/15/2024","AQS","060370016","1","11.7","ppb","10","Glendora","24","100.0000","42602","Nitrogen dioxide (NO2)","099","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.14435","-117.85036"
"04/16/2024","AQS","060370016","1","13.7","ppb","12","Glendora","24","100.0000","42602","Nitrogen dioxide (NO2)","099","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.14435","-117.85036"
"04/17/2024","AQS","060370016","1","18.8","ppb","17","Glendora","24","100.0000","42602","Nitrogen dioxide (NO2)","099","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.14435","-117.85036"
"04/18/2024","AQS","060370016","1","22","ppb","21","Glendora","23","96.0000","42602","Nitrogen dioxide (NO2)","099","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.14435","-117.85036"
"04/19/2024","AQS","060370016","1","11.8","ppb","10","Glendora","24","100.0000","42602","Nitrogen dioxide (NO2)","099","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.14435","-117.85036"
"04/20/2024","AQS","060370016","1","15.8","ppb","14","Glendora","24","100.0000","42602","Nitrogen dioxide (NO2)","099","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.14435","-117.85036"
"04/21/2024","AQS","060370016","1","14.5","ppb","13","Glendora","24","100.0000","42602","Nitrogen dioxide (NO2)","099","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.14435","-117.85036"
"04/22/2024","AQS","060370016","1","12.5","ppb","11","Glendora","24","100.0000","42602","Nitrogen dioxide (NO2)","099","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.14435","-117.85036"
"04/23/2024","AQS","060370016","1","13.4","ppb","12","Glendora","18","75.0000","42602","Nitrogen dioxide (NO2)","099","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.14435","-117.85036"
"04/24/2024","AQS","060370016","1","12.9","ppb","11","Glendora","24","100.0000","42602","Nitrogen dioxide (NO2)","099","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.14435","-117.85036"
"04/25/2024","AQS","060370016","1","9.2","ppb","8","Glendora","24","100.0000","42602","Nitrogen dioxide (NO2)","099","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.14435","-117.85036"
"04/26/2024","AQS","060370016","1","11.1","ppb","10","Glendora","24","100.0000","42602","Nitrogen dioxide (NO2)","099","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.14435","-117.85036"
"04/27/2024","AQS","060370016","1","7.6","ppb","7","Glendora","24","100.0000","42602","Nitrogen dioxide (NO2)","099","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.14435","-117.85036"
"04/28/2024","AQS","060370016","1","10.5","ppb","9","Glendora","24","100.0000","42602","Nitrogen dioxide (NO2)","099","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.14435","-117.85036"
"04/29/2024","AQS","060370016","1","12.7","ppb","11","Glendora","24","100.0000","42602","Nitrogen dioxide (NO2)","099","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.14435","-117.85036"
"04/30/2024","AQS","060370016","1","10.9","ppb","9","Glendora","24","100.0000","42602","Nitrogen dioxide (NO2)","099","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.14435","-117.85036"
"05/24/2024","AQS","060370016","1","15.2","ppb","14","Glendora","20","83.0000","42602","Nitrogen dioxide (NO2)","099","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.14435","-117.85036"
"05/25/2024","AQS","060370016","1","7.9","ppb","7","Glendora","24","100.0000","42602","Nitrogen dioxide (NO2)","099","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.14435","-117.85036"
"05/26/2024","AQS","060370016","1","8","ppb","8","Glendora","24","100.0000","42602","Nitrogen dioxide (NO2)","099","31080","Los Angeles-Long Beach-Anaheim, CA","06","California","037","Los Angeles","34.14435","-117.85036"
